"SAP Buchungskreis";"order number";"article number";"article name"
"M301";"190285718";"2623827";"HD 6554/65 SENSEO ORIGINAL SW"
"S207";"190348179";"2457195";"HX 6851/34 PROTECTIVECLEAN 2ER-PACK"
"M221";"190783983";"2528075";"EP 3246/70 3200 LATTEGO SW"
"S092";"190768126";"1724791";"HX 6511/22"
"S087";"190343726";"2716504";"QP6550/15 ONEBLADE PRO FACE & BODY"
"M233";"190353257";"2472452";"FY 2425/30 FÜR 2-IN-1 KOMBIGERÄT"
"M188";"190496483";"2259978";"HX 8431/02 AIRFLOSS ULTRA PINK"
"S099";"190292976";"2643594";"QP 6620/20 ONEBLADE PRO FACE + BODY"
"M157";"190344179";"1364951";"HD 9220/20 AIRFRYER SCHWARZ/SILBER"
"M188";"190497313";"2229884";"BT 9297/15 LASER-GUIDE-TECHNOLOGIE"
"M147";"190397385";"2511333";"HX 9903/03 DIAMONDCLEAN SMART W"
"M068";"190519144";"2670831";"HX 8494/03"
"M062";"190508169";"2716530";"XC8347/01 SPEEDPRO MAX AQUA DOPPELDÜSE"
"M046";"190374970";"2583341";"HX9601/03 EXPERTCLEAN WHITE-GOLD"
"M142";"190328737";"2395941";"HD 6563/80 SENSEO VIVA CAFÉ ROT"
"M116";"190547079";"2161342";"AC 2887/10 LUFTREINIGER"
"M126";"982817047";"2457238";"FC 6904/01 SPEEDPRO MAX AQUA 25 2V"
"M313";"190060196";"2528071";"S 7960/17 SERIES 7000 ANTHRAZIT"
"M252";"190229330";"2410931";"HC 3530/15 INKL. BARTKAMM SILBER"
"M148";"190331973";"2528074";"EP 2231/40 2200 LATTEGO SW"
"M066";"190457595";"2112399";"QP 6510/20"
"S055";"190456781";"2643591";"HX 8438/03 AIRFLOSS ULTRA + ZUB SW"
"M219";"190394263";"1980336";"HX 8032/07 AIR FLOSS ULTRA 2ER PACK"
"S042";"190338532";"2672148";"ZR 009700 AKKU X-FORCE 8.60"
"S022";"190264221";"1980322";"HC 9450/20"
"M091";"190724920";"2642973";"HR 3573/90 5000 SERIES 1000W + AUF"
"M028";"190418992";"2213019";"HD 7865/60 SENSEO QUADRANTE SCHWARZ"
"S307";"190537667";"2670808";"BRE 700/00"
"M281";"190362451";"2112393";"QP 220/50 2ER ERSATZKLINGE"
"M065";"190490230";"2302972";"BHB 872/00 CURLER"
"M018";"190539853";"2457209";"GC 8942/20 PERFECTCARE EXPERT +BLAU"
"S096";"190471693";"2716505";"QP6650/60 ONEBLADE PRO FACE & BODY"
"M085";"190513467";"2312274";"HX 9359/89 DIAMONDCLEAN SCHWARZ"
"M134";"190526833";"2457171";"MG 7745/15 MULTIGROOM EDELSTAHL"
